type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
DEBIT,1930.54,C1,96123.47,94192.93000000001,D1,20751.46,22682.0,0,0
CASH_IN,43944.18,C2,24570.51,0.0,D2,63300.78,107244.95999999999,0,0
PAYMENT,15747.35,C3,909.42,0.0,D3,42558.44,58305.79,0,0
CASH_IN,6449.82,C4,43380.8,36930.98,D4,1611.73,8061.549999999999,0,0
CASH_IN,23423.59,C5,35897.04,12473.45,D5,2816.5,26240.09,0,0
TRANSFER,29915.71,C6,53908.9,23993.190000000002,D6,47113.43,77029.14,0,0
PAYMENT,1549.5,C7,79677.29,78127.79,D7,18322.59,19872.09,0,0
PAYMENT,13745.51,C8,84243.08,70497.57,D8,58504.2,72249.70999999999,0,0
PAYMENT,1640.96,C9,40123.0,38482.04,D9,40819.18,42460.14,0,0
CASH_IN,21017.35,C10,42984.57,21967.22,D10,65441.98,86459.33,0,0
DEBIT,44755.11,C11,14817.77,0.0,D11,95239.52,139994.63,1,0
PAYMENT,49132.64,C12,4754.76,0.0,D12,52873.61,102006.25,0,0
CASH_IN,31852.74,C13,64121.5,32268.76,D13,78737.86,110590.6,0,0
TRANSFER,8082.72,C14,6443.76,0.0,D14,75304.1,83386.82,0,0
DEBIT,45292.56,C15,73383.01,28090.449999999997,D15,92179.11,137471.66999999998,0,0
TRANSFER,25812.87,C16,53909.01,28096.140000000003,D16,21401.79,47214.66,0,0
DEBIT,7688.31,C17,19858.3,12169.989999999998,D17,82732.7,90421.01,0,0
CASH_IN,46086.41,C18,53952.29,7865.879999999997,D18,90552.04,136638.45,0,0
CASH_OUT,37873.7,C19,18299.77,0.0,D19,39276.3,77150.0,0,0
DEBIT,36585.53,C20,43873.72,7288.190000000002,D20,31381.62,67967.15,0,0
TRANSFER,35459.33,C21,79956.03,44496.7,D21,95203.59,130662.92,0,0
CASH_IN,10017.79,C22,46191.93,36174.14,D22,62763.28,72781.07,0,0
DEBIT,10551.12,C23,14869.93,4318.8099999999995,D23,38067.65,48618.770000000004,0,0
CASH_OUT,34414.96,C24,72382.87,37967.909999999996,D24,79182.77,113597.73000000001,0,0
CASH_OUT,10986.92,C25,18676.84,7689.92,D25,30447.39,41434.31,0,0
PAYMENT,21934.15,C26,73854.99,51920.840000000004,D26,17640.76,39574.91,0,0
PAYMENT,39100.31,C27,47935.23,8834.920000000006,D27,54396.96,93497.26999999999,0,0
TRANSFER,39197.84,C28,45374.18,6176.340000000004,D28,56621.2,95819.04,0,0
DEBIT,22663.64,C29,85143.5,62479.86,D29,82574.65,105238.29,0,0
DEBIT,39609.7,C30,70860.35,31250.65000000001,D30,45702.74,85312.44,0,0
PAYMENT,41931.25,C31,3291.08,0.0,D31,81458.65,123389.9,0,0
DEBIT,32739.13,C32,29617.43,0.0,D32,31132.27,63871.4,0,0
DEBIT,11422.06,C33,87092.07,75670.01000000001,D33,57536.82,68958.88,0,0
CASH_OUT,13701.32,C34,1832.62,0.0,D34,20847.28,34548.6,0,0
PAYMENT,15742.74,C35,54525.34,38782.6,D35,38544.6,54287.34,0,0
CASH_IN,5841.09,C36,72782.57,66941.48000000001,D36,85753.97,91595.06,0,0
PAYMENT,13658.71,C37,62185.61,48526.9,D37,21598.82,35257.53,0,0
CASH_IN,10476.75,C38,76053.22,65576.47,D38,81023.95,91500.7,0,0
CASH_OUT,22766.98,C39,72569.18,49802.2,D39,28287.17,51054.149999999994,0,0
TRANSFER,45421.97,C40,69203.07,23781.100000000006,D40,3448.97,48870.94,0,0
